,index,benunit_id,household_id,income_support_reported,child_benefit_reported,working_tax_credit_reported,child_tax_credit_reported,JSA_income_reported,housing_benefit_reported,ESA_income_reported,pension_credit_reported,universal_credit_reported,benunit_weight
0,5,2000061,3000060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21093.571590266612
1,91,2001241,3001240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23202.928749293274
2,100,2001361,3001360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88689.76018182741
3,104,2001461,3001460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17416.7104873761
4,141,2002041,3002040,0.0,0.0,78.88519658718818,0.0,0.0,0.0,0.0,25.663314657761372,0.0,33594.899340094344
5,163,2002271,3002270,0.0,21.45970995156439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16197.540753259775
6,192,2002641,3002640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11262.806115169878
7,195,2002691,3002690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57707.367414839486
8,199,2002741,3002740,0.0,0.0,0.0,53.12589263454752,0.0,0.0,0.0,0.0,0.0,70827.95598199614
9,240,2003361,3003360,0.0,0.0,0.0,49.976208115775506,0.0,0.0,0.0,0.0,0.0,24228.57947799431
10,244,2003421,3003420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54843.28613469319
11,250,2003481,3003480,0.0,21.45970995156439,0.0,0.0,0.0,4.983030310895556,0.0,0.0,0.0,22428.852727632115
12,273,2003791,3003790,0.0,35.66251315622295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13604.386080694889
13,280,2003891,3003890,0.0,0.0,0.0,0.0,0.0,0.0,141.04921945149923,0.0,0.0,23202.928749293274
14,311,2004281,3004280,0.0,0.0,0.0,46.74231960336581,0.0,0.0,0.0,0.0,0.0,37736.20605598155
15,331,2004521,3004520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33091.74992601459
16,340,2004621,3004620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26144.41763160568
17,347,2004701,3004700,0.0,35.66251315622295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10082.34018213661
18,365,2004951,3004950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68099.33800564056
19,390,2005371,3005370,0.0,35.66251315622295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13623.737981236418
20,392,2005391,3005390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4934.734638089895
21,449,2006291,3006290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39400.469502553045
22,469,2006581,3006580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30014.797739911482
23,470,2006591,3006590,0.0,21.45970995156439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11340.213717335995
24,488,2006851,3006850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27886.08868034329
25,550,2007631,3007630,0.0,21.45970995156439,112.45729120763745,0.0,0.0,0.0,0.0,0.0,0.0,30363.131949659004
26,581,2007961,3007960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25292.934007778404
27,645,2008911,3008910,0.0,35.66251315622295,73.5730948349794,0.0,0.0,0.0,0.0,0.0,0.0,39265.00619876234
28,741,2010361,3010360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62584.046351304794
29,744,2010391,3010390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10895.120004880828
30,749,2010481,3010480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24480.154185034186
31,766,2010691,3010690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71911.66241232178
32,791,2011051,3011050,0.0,0.0,68.15416836648998,0.0,0.0,0.0,0.0,0.0,0.0,28079.607685758583
33,799,2011141,3011140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10875.768104339299
34,832,2011691,3011690,0.0,35.66251315622295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49618.27298848036
35,850,2011931,3011930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42864.45969948674
36,851,2011932,3011930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82497.15200853813
37,879,2012301,3012300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34020.641152007986
38,931,2013042,3013040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25234.87830615382
39,936,2013101,3013100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14513.92540614675
40,975,2013651,3013650,0.0,49.86531636088151,0.0,0.0,0.0,0.0,0.0,17.844165394556295,0.0,81161.87087117264
41,990,2013871,3013870,0.0,35.66251315622295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34872.12477583526
42,996,2013951,3013950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23957.652870412905
43,1014,2014141,3014140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22699.77933521352
44,1020,2014231,3014230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27015.253155974486
45,1026,2014311,3014310,0.0,0.0,0.0,0.0,0.0,89.69454559612001,0.0,0.0,0.0,21654.77670597095
46,1029,2014351,3014350,0.0,0.0,0.0,159.304852828064,0.0,0.0,159.85578204503244,0.0,0.0,11862.715031957277
47,1046,2014601,3014600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27615.162072761887
48,1071,2015031,3015030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23435.15155579162
49,1087,2015331,3015330,0.0,0.0,0.0,245.78463007758447,0.0,113.01512745111121,0.0,0.0,0.0,47586.323431619814
50,1106,2015611,3015610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22835.242639004224
51,1122,2015831,3015830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4296.121920219439
52,1124,2015851,3015850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30014.797739911482
53,1150,2016201,3016200,0.0,0.0,74.14606376254852,0.0,0.0,0.0,0.0,0.0,0.0,4373.529522385555
54,1164,2016391,3016390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26028.30622835651
55,1167,2016441,3016440,0.0,0.0,0.0,155.0992047134031,0.0,0.0,0.0,0.0,0.0,23396.447754708563
56,1179,2016571,3016570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25041.359300738528
57,1181,2016601,3016600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45747.89288017456
58,1239,2017451,3017450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27673.217774386474
59,1244,2017511,3017510,0.0,35.66251315622295,20.083046477214896,0.0,0.0,0.0,0.0,0.0,0.0,26163.76953214721
60,1245,2017512,3017510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29434.24072366561
61,1272,2017861,3017860,0.0,64.06811956554006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45244.743466094806
62,1364,2019111,3019110,0.0,21.45970995156439,0.0,0.0,0.0,58.79975766856756,0.0,0.0,0.0,11727.251728166575
63,1409,2019831,3019830,0.0,0.0,0.0,0.0,0.0,126.56896989674712,0.0,0.0,0.0,6095.848670581636
64,1421,2020051,3020050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35433.3298915396
65,1478,2020861,3020860,0.0,21.45970995156439,0.0,0.0,0.0,69.03613061954017,0.0,0.0,0.0,44915.76115688881
66,1496,2021041,3021040,0.0,0.0,0.09711337755409107,0.0,0.0,0.0,0.0,0.0,0.0,34175.45635634022
67,1499,2021071,3021070,0.0,0.0,0.0,0.0,0.0,89.49522438368417,0.0,0.0,0.0,11940.122634123394
68,1500,2021072,3021070,0.0,35.66251315622295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26395.99233864556
69,1517,2021361,3021360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22080.51851788459
70,1532,2021561,3021560,0.0,49.86531636088151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5186.309345129773
71,1582,2022231,3022230,0.0,35.66251315622295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39342.41380092846
72,1637,2022911,3022910,0.0,0.0,0.0,0.0,0.0,82.71830316086623,0.0,0.0,0.0,32782.119517350126
73,1646,2023051,3023050,0.0,35.66251315622295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5670.106858667998
74,1657,2023181,3023180,0.0,0.0,0.0,0.0,0.0,89.69454559612001,0.0,0.0,0.0,23473.85535687468
75,1664,2023291,3023290,0.0,21.45970995156439,0.0,0.0,0.0,62.786181917284004,0.0,0.0,0.0,33304.62083197141
